Flow.ID,Timestamp,Date,Time,Source.IP,Source.Port,Destination.IP,Destination.Port,Flow.Duration,Protocol,ACK.Flag.Count,Down.Up.Ratio,ProtocolName,Interval
192.168.10.28-10.200.7.4-50822-3128-6,2017-04-26 03:03:25,2017-04-26,03:03:25,10.200.7.4,3128,192.168.10.28,50822,90581539,6,1,0,HTTP_PROXY,0 days
192.168.50.2-10.200.7.4-49482-3128-6,2017-04-26 03:03:25,2017-04-26,03:03:25,10.200.7.4,3128,192.168.50.2,49482,115181322,6,1,0,HTTP_PROXY,0 days
192.168.32.22-10.200.7.4-50921-3128-6,2017-04-26 03:03:26,2017-04-26,03:03:26,10.200.7.4,3128,192.168.32.22,50921,111154846,6,1,0,HTTP_PROXY,0 days
192.168.81.6-10.200.7.4-51360-3128-6,2017-04-26 03:03:26,2017-04-26,03:03:26,10.200.7.4,3128,192.168.81.6,51360,100512515,6,1,0,HTTP_PROXY,0 days
192.168.60.136-10.200.7.4-55039-3128-6,2017-04-26 03:03:26,2017-04-26,03:03:26,10.200.7.4,3128,192.168.60.136,55039,107066693,6,1,0,HTTP_PROXY,0 days
192.168.130.84-10.200.7.4-49492-3128-6,2017-04-26 03:03:26,2017-04-26,03:03:26,10.200.7.4,3128,192.168.130.84,49492,116537721,6,1,0,HTTP_PROXY,0 days
192.168.32.125-10.200.7.4-53330-3128-6,2017-04-26 03:03:26,2017-04-26,03:03:26,10.200.7.4,3128,192.168.32.125,53330,87692529,6,1,0,HTTP_PROXY,0 days
172.16.255.183-10.200.7.4-53-52931-17,2017-04-26 03:03:26,2017-04-26,03:03:26,10.200.7.4,52931,172.16.255.183,53,119039510,17,0,0,DNS,0 days
192.168.72.94-10.200.7.4-55144-3128-6,2017-04-26 03:03:26,2017-04-26,03:03:26,10.200.7.4,3128,192.168.72.94,55144,95908868,6,1,0,HTTP_PROXY,0 days
192.168.60.112-10.200.7.4-49731-3128-6,2017-04-26 03:03:27,2017-04-26,03:03:27,10.200.7.4,3128,192.168.60.112,49731,92021510,6,1,1,HTTP_PROXY,0 days
192.168.10.62-10.200.7.4-56020-3128-6,2017-04-26 03:03:27,2017-04-26,03:03:27,10.200.7.4,3128,192.168.10.62,56020,119831334,6,1,1,HTTP_PROXY,0 days
172.16.141.247-10.200.7.4-2221-53890-6,2017-04-26 03:03:27,2017-04-26,03:03:27,10.200.7.4,53890,172.16.141.247,2221,1009268,6,0,2,HTTP,0 days
192.168.60.42-10.200.7.4-56819-3128-6,2017-04-26 03:03:28,2017-04-26,03:03:28,10.200.7.4,3128,192.168.60.42,56819,100189649,6,1,0,HTTP_PROXY,0 days
172.16.141.247-10.200.7.4-2221-53890-6,2017-04-26 03:03:28,2017-04-26,03:03:28,10.200.7.4,53890,172.16.141.247,2221,118,6,1,1,HTTP,0 days
192.168.60.218-10.200.7.4-55299-3128-6,2017-04-26 03:03:29,2017-04-26,03:03:29,10.200.7.4,3128,192.168.60.218,55299,111181548,6,1,1,HTTP_PROXY,0 days
10.200.7.4-10.230.1.13-3128-57833-6,2017-04-26 03:03:29,2017-04-26,03:03:29,10.200.7.4,3128,10.230.1.13,57833,109335061,6,1,0,HTTP_PROXY,0 days
192.168.60.193-10.200.7.4-64810-3128-6,2017-04-26 03:03:30,2017-04-26,03:03:30,10.200.7.4,3128,192.168.60.193,64810,108794031,6,1,1,HTTP_PROXY,0 days
192.168.142.45-10.200.7.4-58260-3128-6,2017-04-26 03:03:30,2017-04-26,03:03:30,10.200.7.4,3128,192.168.142.45,58260,113463593,6,1,0,HTTP_PROXY,0 days
192.168.10.76-10.200.7.4-56612-3128-6,2017-04-26 03:03:30,2017-04-26,03:03:30,10.200.7.4,3128,192.168.10.76,56612,110323307,6,1,1,HTTP_PROXY,0 days
192.168.90.24-10.200.7.4-49415-3128-6,2017-04-26 03:03:31,2017-04-26,03:03:31,10.200.7.4,3128,192.168.90.24,49415,111519440,6,1,0,HTTP_PROXY,0 days
172.16.141.247-10.200.7.4-2221-53902-6,2017-04-26 03:03:32,2017-04-26,03:03:32,10.200.7.4,53902,172.16.141.247,2221,1015908,6,0,1,HTTP,0 days
192.168.81.6-10.200.7.4-49549-3128-6,2017-04-26 03:03:32,2017-04-26,03:03:32,10.200.7.4,3128,192.168.81.6,49549,100001941,6,1,0,HTTP_PROXY,0 days
192.168.102.9-10.200.7.4-51649-3128-6,2017-04-26 03:03:32,2017-04-26,03:03:32,10.200.7.4,3128,192.168.102.9,51649,75080901,6,1,0,HTTP_PROXY,0 days
192.168.42.81-10.200.7.4-2532-3128-6,2017-04-26 03:03:32,2017-04-26,03:03:32,10.200.7.4,3128,192.168.42.81,2532,107245549,6,1,0,HTTP_PROXY,0 days
192.168.40.38-10.200.7.4-49991-3128-6,2017-04-26 03:03:33,2017-04-26,03:03:33,10.200.7.4,3128,192.168.40.38,49991,107632767,6,1,0,HTTP_PROXY,0 days
10.200.7.4-10.230.1.69-3128-60855-6,2017-04-26 03:03:33,2017-04-26,03:03:33,10.200.7.4,3128,10.230.1.69,60855,106464806,6,1,0,HTTP_PROXY,0 days
172.16.141.247-10.200.7.4-2221-53907-6,2017-04-26 03:03:34,2017-04-26,03:03:34,10.200.7.4,53907,172.16.141.247,2221,1178846,6,0,1,HTTP,0 days
192.168.60.136-10.200.7.4-55169-3128-6,2017-04-26 03:03:34,2017-04-26,03:03:34,10.200.7.4,3128,192.168.60.136,55169,80018003,6,1,0,HTTP_PROXY,0 days
192.168.60.136-10.200.7.4-55162-3128-6,2017-04-26 03:03:34,2017-04-26,03:03:34,10.200.7.4,3128,192.168.60.136,55162,80015557,6,1,0,HTTP_PROXY,0 days
